from,post_id,text_trans,text,publish_time,cnt_retweet,cnt_comment,cnt_agree,user_id,screen_name,name,url,action,avatar,img,query,sentiment_score,cluster,event
facebook,931635495221250,Former President Donald Trump's criminal trials are fast approaching. He has pleaded not guilty to the combined 91 criminal charges.,Former President Donald Trump's criminal trials are fast approaching. He has pleaded not guilty to the combined 91 criminal charges.,2024-02-28 03:20:50,1,20,23,100051244241699,fox31denver,FOX31 KDVR.com,https://www.facebook.com/fox31denver/posts/931635495221250,post,,,,0.05,,
facebook,770894185086734,Trump has pleaded not guilty to the 40-count indictment.,Trump has pleaded not guilty to the 40-count indictment.,2024-02-23 17:36:16,0,1,3,100064984770069,timesofmalta,Times of Malta,https://www.facebook.com/timesofmalta/posts/770894185086734,post,,,,-0.1,,
facebook,803210108332538,"BREAKING: Attorneys for former Pres. Trump have asked the judge overseeing his hush money case to delay the trial, currently scheduled to begin March 25, while the Supreme Court weighs Trump's argument that he is immune from prosecution for conduct that occurred while he was in office.

Trump last April pleaded not guilty to a 34-count indictment charging him with falsifying business records in connection with a hush money payment his then-attorney Michael Cohen made to adult film actress Stormy Daniels just days before the 2016 presidential election
https://abcnews.go.com/US/trump-asks-judge-delay-hush-money-trial-supreme/story?id=108015344","BREAKING: Attorneys for former Pres. Trump have asked the judge overseeing his hush money case to delay the trial, currently scheduled to begin March 25, while the Supreme Court weighs Trump's argument that he is immune from prosecution for conduct that occurred while he was in office.

Trump last April pleaded not guilty to a 34-count indictment charging him with falsifying business records in connection with a hush money payment his then-attorney Michael Cohen made to adult film actress Stormy Daniels just days before the 2016 presidential election.

https://abcnews.go.com/US/trump-asks-judge-delay-hush-money-trial-supreme/story?id=108015344",2024-03-12 01:57:21,109,1332,1352,100059306690876,ABCNews,ABC News,https://www.facebook.com/ABCNews/posts/803210108332538,post,,,,-0.18,,
facebook,842603751003728,"You know we live in weird times when a former president, and arguably one of the most racist, releases a sneaker.. at #SneakerCon at that! 🤦🏾‍♂️ 

Here is a reminder of #Donald Duck’s pending charges: 

1. Georgia Election-Tampering Criminal Probe: Trump was indicted by a Georgia grand jury for efforts to overturn his 2020 election loss, facing 41 felony counts, including racketeering and conspiracy to commit various election-related crimes.

2. January 6 and the U.S. Capitol Attack:
He pleaded not guilty to charges that he conspired to defraud the U.S. by preventing Congress from certifying Biden's victory and depriving voters of their right to a fair election.

3. Illegal Retention of Classified Documents: Trump pleaded not guilty in federal court to charges that he unlawfully kept classified national security documents after leaving office and lied to officials who sought to recover them.

4. New York 'Hush Money' Criminal Case:
He faces an indictment for allegedly falsifying business records in connection with a hush-money payment to adult film star Stormy Daniels before the 2016 presidential election.

5. Sexual Abuse and Defamation Civil Lawsuits:
Trump is appealing a verdict that found him liable for sexually abusing writer E. Jean Carroll in the mid-1990s and then defaming her by lying about it in 2022.

6. New York Attorney General Civil Lawsuit: Trump is being sued for alleged fraud by him and his family business, the Trump Organization, accused of inflating asset values to obtain better terms from lenders and insurers.

I better not catch yall wearing these 🤦🏾‍♂️🤦🏾‍♂️🤦🏾‍♂️📸","You know we live in weird times when a former president, and arguably one of the most racist, releases a sneaker.. at #SneakerCon at that! 🤦🏾‍♂️ 

Here is a reminder of #Donald Duck’s pending charges: 

1. Georgia Election-Tampering Criminal Probe: Trump was indicted by a Georgia grand jury for efforts to overturn his 2020 election loss, facing 41 felony counts, including racketeering and conspiracy to commit various election-related crimes.

2. January 6 and the U.S. Capitol Attack:
He pleaded not guilty to charges that he conspired to defraud the U.S. by preventing Congress from certifying Biden's victory and depriving voters of their right to a fair election.

3. Illegal Retention of Classified Documents: Trump pleaded not guilty in federal court to charges that he unlawfully kept classified national security documents after leaving office and lied to officials who sought to recover them.

4. New York 'Hush Money' Criminal Case:
He faces an indictment for allegedly falsifying business records in connection with a hush-money payment to adult film star Stormy Daniels before the 2016 presidential election.

5. Sexual Abuse and Defamation Civil Lawsuits:
Trump is appealing a verdict that found him liable for sexually abusing writer E. Jean Carroll in the mid-1990s and then defaming her by lying about it in 2022.

6. New York Attorney General Civil Lawsuit: Trump is being sued for alleged fraud by him and his family business, the Trump Organization, accused of inflating asset values to obtain better terms from lenders and insurers.

I better not catch yall wearing these 🤦🏾‍♂️🤦🏾‍♂️🤦🏾‍♂️📸",2024-02-19 00:43:09,2,0,6,100057623336380,FeloniesAreForever,Johnny Perez,https://www.facebook.com/FeloniesAreForever/posts/842603751003728,post,,,,-0.84,,
facebook,768506318483148,The former president has pleaded not guilty to 91 felony charges in four cases he condemns as being politically motivated.,The former president has pleaded not guilty to 91 felony charges in four cases he condemns as being politically motivated.,2024-02-15 00:48:01,3,65,30,100059713591146,Newsweek,Newsweek,https://www.facebook.com/Newsweek/posts/768506318483148,post,,,,-0.38,,
facebook,946502866824129,"FROM THE WINY RADIO NEWSROOM: Judge dismisses some charges against Trump in the Georgia election interference case

ATLANTA (AP) — The judge overseeing the Georgia election interference case on Wednesday dismissed some of the charges against former President Donald Trump, but many other counts in the indictment remain.

Fulton County Superior Court Judge Scott McAfee wrote in an order that six of the counts in the indictment must be quashed, including three against Trump, the presumptive 2024 Republican presidential nominee.

But the order leaves intact other charges, and the judge wrote that prosecutors could seek a new indictment on the charges he dismissed.

The six charges in question have to do with soliciting elected officials to violate their oaths of office. That includes two charges related to the phone call Trump made to Georgia Secretary of State Brad Raffensperger, a fellow Republican, on Jan. 2, 2021.

“All I want to do is this. I just want to find 11,780 votes, which is one more than we have,” Trump said.

The case accuses Trump and 18 others of conspiring to overturn his 2020 election loss in the state to Democrat Joe Biden. Trump has pleaded not guilty.

The ruling comes as McAfee is also considering a bid by defendants to have Fulton County District Attorney Fani Willis removed from the case. Defendants have alleged that Willis has a conflict of interest because of her romantic relationship with special prosecutor Nathan Wade.

FILE - Fulton County Superior Judge Scott McAfee presides in court, Feb. 27, 2024, in Atlanta. The judge overseeing the Georgia election interference case has dismissed some of the charges against ex-President Donald Trump, but others remain. Judge McAfee wrote Wednesday in an order that six of the charges in the indictment must be quashed, including three against Trump. (AP Photo/Brynn Anderson, Pool, File)","FROM THE WINY RADIO NEWSROOM: Judge dismisses some charges against Trump in the Georgia election interference case

ATLANTA (AP) — The judge overseeing the Georgia election interference case on Wednesday dismissed some of the charges against former President Donald Trump, but many other counts in the indictment remain.

Fulton County Superior Court Judge Scott McAfee wrote in an order that six of the counts in the indictment must be quashed, including three against Trump, the presumptive 2024 Republican presidential nominee.

But the order leaves intact other charges, and the judge wrote that prosecutors could seek a new indictment on the charges he dismissed.

The six charges in question have to do with soliciting elected officials to violate their oaths of office. That includes two charges related to the phone call Trump made to Georgia Secretary of State Brad Raffensperger, a fellow Republican, on Jan. 2, 2021.

“All I want to do is this. I just want to find 11,780 votes, which is one more than we have,” Trump said.

The case accuses Trump and 18 others of conspiring to overturn his 2020 election loss in the state to Democrat Joe Biden. Trump has pleaded not guilty.

The ruling comes as McAfee is also considering a bid by defendants to have Fulton County District Attorney Fani Willis removed from the case. Defendants have alleged that Willis has a conflict of interest because of her romantic relationship with special prosecutor Nathan Wade.

FILE - Fulton County Superior Judge Scott McAfee presides in court, Feb. 27, 2024, in Atlanta. The judge overseeing the Georgia election interference case has dismissed some of the charges against ex-President Donald Trump, but others remain. Judge McAfee wrote Wednesday in an order that six of the charges in the indictment must be quashed, including three against Trump. (AP Photo/Brynn Anderson, Pool, File)",2024-03-13 22:39:51,2,7,15,100043932739017,winyradio,WINY Radio,https://www.facebook.com/winyradio/posts/946502866824129,post,,,,-0.11,,
facebook,800187058815228,"Donald Trump also faces four unrelated criminal prosecutions, to which he has pleaded not guilty.","Donald Trump also faces four unrelated criminal prosecutions, to which he has pleaded not guilty.",2024-02-24 08:59:03,0,5,7,100064718229164,perthnow,PerthNow,https://www.facebook.com/perthnow/posts/800187058815228,post,,,,-0.41,,
facebook,786085500044999,"BREAKING: Former Pres. Trump has filed an emergency application with the U.S. Supreme Court to stay a decision rejecting his claim to absolute immunity in special counsel Jack Smith's election subversion case.

Trump denies wrongdoing and has pleaded not guilty. https://abcnews.go.com/Politics/trump-asks-supreme-court-pause-ruling-immunity-jan/story?id=107171210","BREAKING: Former Pres. Trump has filed an emergency application with the U.S. Supreme Court to stay a decision rejecting his claim to absolute immunity in special counsel Jack Smith's election subversion case.

Trump denies wrongdoing and has pleaded not guilty. https://abcnews.go.com/Politics/trump-asks-supreme-court-pause-ruling-immunity-jan/story?id=107171210",2024-02-13 06:05:27,122,1199,2102,100059306690876,ABCNews,ABC News,https://www.facebook.com/ABCNews/posts/786085500044999,post,,,,-0.08,,
facebook,894528282679433,Trump and the 14 remaining co-defendants were indicted by Willis last summer and have pleaded not guilty. Four other co-defendants have already pleaded guilty and agreed to cooperate with prosecutors to testify.,Trump and the 14 remaining co-defendants were indicted by Willis last summer and have pleaded not guilty. Four other co-defendants have already pleaded guilty and agreed to cooperate with prosecutors to testify.,2024-02-15 22:00:05,0,2,6,100063668075564,KDRV12,KDRV NewsWatch 12,https://www.facebook.com/KDRV12/posts/894528282679433,post,,,,-0.02,,
facebook,957873839033380,"Donald Trump’s hush-money trial will go ahead as scheduled with jury selection starting on March 25, a judge ruled on Thursday, turning aside requests for a delay from the former president’s defence lawyers.

In leaving the trial date intact, Judge Juan Manuel Merchan took advantage of a delay in a separate prosecution in Washington charging Trump with plotting to overturn the results of the 2020 presidential election.

That case has been effectively on hold pending the outcome of an appeal from Trump.

The hearing was held in the same Manhattan courtroom where he pleaded not guilty last April to 34 counts of falsifying business records in an alleged scheme to bury stories about extramarital affairs that arose during his 2016 presidential campaign.

Trump entered the courthouse shortly before 9am.

It was Mr Trump’s first return visit to court in the New York criminal case since that historic indictment made him the first ex-president charged with a crime.

Since then, he has also been indicted in Florida, Georgia and Washington DC.

In recent weeks, he has blended campaign events with court appearances, attending a closed hearing on Monday in a Florida case charging him with hoarding classified records.

Judge Merchan has taken steps in recent weeks to prepare for a trial. If it goes off as planned, it would be the first of Mr Trump’s criminal cases to go to trial.

For more, follow Guardian Nigeria on Instagram, LinkedIn, YouTube, Threads, and X 🌐📈🔔

#DonaldTrump #HushMoneyTrial #Trial #Manhattan #US","Donald Trump’s hush-money trial will go ahead as scheduled with jury selection starting on March 25, a judge ruled on Thursday, turning aside requests for a delay from the former president’s defence lawyers.

In leaving the trial date intact, Judge Juan Manuel Merchan took advantage of a delay in a separate prosecution in Washington charging Trump with plotting to overturn the results of the 2020 presidential election.

That case has been effectively on hold pending the outcome of an appeal from Trump.

The hearing was held in the same Manhattan courtroom where he pleaded not guilty last April to 34 counts of falsifying business records in an alleged scheme to bury stories about extramarital affairs that arose during his 2016 presidential campaign.

Trump entered the courthouse shortly before 9am.

It was Mr Trump’s first return visit to court in the New York criminal case since that historic indictment made him the first ex-president charged with a crime.

Since then, he has also been indicted in Florida, Georgia and Washington DC.

In recent weeks, he has blended campaign events with court appearances, attending a closed hearing on Monday in a Florida case charging him with hoarding classified records.

Judge Merchan has taken steps in recent weeks to prepare for a trial. If it goes off as planned, it would be the first of Mr Trump’s criminal cases to go to trial.

For more, follow Guardian Nigeria on Instagram, LinkedIn, YouTube, Threads, and X 🌐📈🔔

#DonaldTrump #HushMoneyTrial #Trial #Manhattan #US",2024-02-15 23:28:45,1,7,34,100044323184888,guardianng,Guardian Nigeria,https://www.facebook.com/guardianng/posts/957873839033380,post,,,,-0.07,,
